date,min,max,pm25,q1,q3,stdev,count,pm25_lag_1,pm25_lag_2,pm25_lag_3,country,city,street
2019-12-09 00:00:00+00:00,1.6,3.16,2.29,2.12,2.54,0.317,310,0.0,0.0,0.0,Sweden,Kalmar,Norra Långgatan
2019-12-09 00:00:00+00:00,1.76,5.24,2.41,2.15,2.82,0.517,315,0.0,0.0,0.0,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-10 00:00:00+00:00,0.4,17.1,1.38,0.97,2.16,2.209,387,2.41,0.0,0.0,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-10 00:00:00+00:00,0.57,5.85,1.1,0.85,1.86,0.811,387,2.29,0.0,0.0,Sweden,Kalmar,Norra Långgatan
2019-12-11 00:00:00+00:00,1.3,7.0,2.86,2.5,3.34,0.887,423,1.1,2.29,0.0,Sweden,Kalmar,Norra Långgatan
2019-12-11 00:00:00+00:00,0.44,11.25,3.57,2.7,4.61,2.175,428,1.38,2.41,0.0,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-12 00:00:00+00:00,2.5,26.72,14.65,5.04,21.58,8.266,485,2.86,1.1,2.29,Sweden,Kalmar,Norra Långgatan
2019-12-12 00:00:00+00:00,1.62,30.97,16.16,12.02,20.07,6.94,449,3.57,1.38,2.41,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-13 00:00:00+00:00,1.35,39.79,6.76,3.82,10.5,5.063,506,14.65,2.86,1.1,Sweden,Kalmar,Norra Långgatan
2019-12-13 00:00:00+00:00,2.58,28.88,11.5,6.22,15.25,6.359,556,16.16,3.57,1.38,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-14 00:00:00+00:00,2.22,25.23,13.71,6.47,16.97,6.215,400,6.76,14.65,2.86,Sweden,Kalmar,Norra Långgatan
2019-12-14 00:00:00+00:00,2.18,35.86,20.17,7.6,26.12,9.37,395,11.5,16.16,3.57,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-15 00:00:00+00:00,0.3,4.66,1.97,1.29,2.76,0.983,560,20.17,11.5,16.16,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-15 00:00:00+00:00,0.42,4.84,1.77,0.99,2.5,0.96,575,13.71,6.76,14.65,Sweden,Kalmar,Norra Långgatan
2019-12-16 00:00:00+00:00,0.45,3.6,1.71,0.74,2.66,0.963,290,1.77,13.71,6.76,Sweden,Kalmar,Norra Långgatan
2019-12-16 00:00:00+00:00,0.4,3.33,0.95,0.66,1.62,0.765,291,1.97,20.17,11.5,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-17 00:00:00+00:00,4.28,34.45,13.41,9.67,22.98,8.467,283,1.71,1.77,13.71,Sweden,Kalmar,Norra Långgatan
2019-12-17 00:00:00+00:00,4.62,62.57,17.8,12.51,34.97,17.628,292,0.95,1.97,20.17,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-18 00:00:00+00:00,0.38,18.93,1.69,0.85,9.65,5.395,426,17.8,0.95,1.97,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-18 00:00:00+00:00,0.35,6.5,1.33,0.65,3.04,1.583,466,13.41,1.71,1.77,Sweden,Kalmar,Norra Långgatan
2019-12-19 00:00:00+00:00,0.6,15.18,2.15,1.03,9.84,4.799,321,1.69,17.8,0.95,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-19 00:00:00+00:00,1.14,29.23,3.22,1.85,10.98,6.526,396,1.33,13.41,1.71,Sweden,Kalmar,Norra Långgatan
2019-12-20 00:00:00+00:00,5.4,40.22,34.89,24.57,36.65,8.345,274,2.15,1.69,17.8,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-20 00:00:00+00:00,13.47,49.06,35.21,23.67,40.26,9.978,594,3.22,1.33,13.41,Sweden,Kalmar,Norra Långgatan
2019-12-21 00:00:00+00:00,8.52,58.44,19.59,13.08,23.38,7.307,404,35.21,3.22,1.33,Sweden,Kalmar,Norra Långgatan
2019-12-21 00:00:00+00:00,13.74,42.63,18.3,16.72,35.47,9.582,152,34.89,2.15,1.69,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-22 00:00:00+00:00,2.45,22.46,12.72,7.05,14.28,4.596,316,19.59,35.21,3.22,Sweden,Kalmar,Norra Långgatan
2019-12-22 00:00:00+00:00,5.67,20.32,11.45,10.7,12.35,2.288,102,18.3,34.89,2.15,Sweden,Gotland,"Östra Tvärgatan, Visby"
2019-12-23 00:00:00+00:00,1.75,9.11,4.5,2.54,6.04,1.87,363,12.72,19.59,35.21,Sweden,Kalmar,Norra Långgatan
