date,min,max,median,q1,q3,stdev,count
2019-12-09 00:00:00+00:00,1.6,3.16,2.29,2.12,2.54,0.317,310
2019-12-10 00:00:00+00:00,0.57,5.85,1.1,0.85,1.86,0.811,387
2019-12-11 00:00:00+00:00,1.3,7.0,2.86,2.5,3.34,0.887,423
2019-12-12 00:00:00+00:00,2.5,26.72,14.65,5.04,21.58,8.266,485
2019-12-13 00:00:00+00:00,1.35,39.79,6.76,3.82,10.5,5.063,506
2019-12-14 00:00:00+00:00,2.22,25.23,13.71,6.47,16.97,6.215,400
2019-12-15 00:00:00+00:00,0.42,4.84,1.77,0.99,2.5,0.96,575
2019-12-16 00:00:00+00:00,0.45,3.6,1.71,0.74,2.66,0.963,290
2019-12-17 00:00:00+00:00,4.28,34.45,13.41,9.67,22.98,8.467,283
2019-12-18 00:00:00+00:00,0.35,6.5,1.33,0.65,3.04,1.583,466
2019-12-19 00:00:00+00:00,1.14,29.23,3.22,1.85,10.98,6.526,396
2019-12-20 00:00:00+00:00,13.47,49.06,35.21,23.67,40.26,9.978,594
2019-12-21 00:00:00+00:00,8.52,58.44,19.59,13.08,23.38,7.307,404
2019-12-22 00:00:00+00:00,2.45,22.46,12.72,7.05,14.28,4.596,316
2019-12-23 00:00:00+00:00,1.75,9.11,4.5,2.54,6.04,1.87,363
2019-12-24 00:00:00+00:00,2.37,17.44,5.15,3.99,8.02,2.492,588
2019-12-25 00:00:00+00:00,2.92,8.64,4.01,3.69,4.49,0.672,586
2019-12-26 00:00:00+00:00,0.55,3.32,0.92,0.75,1.52,0.679,237
2019-12-27 00:00:00+00:00,0.76,1.52,0.99,0.9,1.06,0.155,62
2019-12-28 00:00:00+00:00,1.18,19.7,1.93,1.74,2.22,1.715,406
2019-12-29 00:00:00+00:00,3.58,7.8,5.32,4.34,6.3,1.139,251
2019-12-30 00:00:00+00:00,0.8,6.15,4.11,3.72,4.79,0.86,236
2019-12-31 00:00:00+00:00,0.5,6.62,0.99,0.73,1.64,0.728,494
2020-01-09 00:00:00+00:00,2.1,9.75,6.07,4.36,8.27,2.261,62
2020-01-10 00:00:00+00:00,0.79,8.94,3.22,1.88,5.44,2.074,430
2020-01-11 00:00:00+00:00,0.88,9.32,2.0,1.5,3.3,1.619,531
2020-01-12 00:00:00+00:00,0.45,10.7,2.06,0.83,5.65,3.165,564
2020-01-13 00:00:00+00:00,1.23,7.6,1.94,1.72,2.43,1.325,486
2020-01-14 00:00:00+00:00,1.9,17.57,8.28,3.06,12.15,4.442,436
2020-01-15 00:00:00+00:00,0.4,4.65,2.19,1.9,2.81,0.746,460
2020-01-16 00:00:00+00:00,0.4,4.26,2.35,1.82,2.8,0.793,471
2020-01-17 00:00:00+00:00,3.57,37.58,10.82,8.14,19.93,8.367,463
2020-01-18 00:00:00+00:00,0.76,41.46,1.8,1.17,31.22,14.517,503
2020-01-19 00:00:00+00:00,0.85,12.98,1.39,1.12,1.75,0.888,473
2020-01-20 00:00:00+00:00,0.95,3.45,2.06,1.76,2.5,0.553,362
2020-01-21 00:00:00+00:00,0.55,2.75,1.6,1.12,1.92,0.483,463
2020-01-22 00:00:00+00:00,1.6,2.38,2.1,1.86,2.27,0.218,15
2020-01-23 00:00:00+00:00,0.35,1.1,0.5,0.46,0.53,0.097,84
2020-01-24 00:00:00+00:00,0.44,1.58,0.8,0.65,0.92,0.204,268
2020-01-25 00:00:00+00:00,0.75,2.16,1.45,1.3,1.58,0.247,297
2020-01-26 00:00:00+00:00,0.5,13.92,1.96,0.9,4.15,3.627,291
2020-01-27 00:00:00+00:00,5.87,35.22,10.46,9.09,14.45,6.093,220
2020-01-28 00:00:00+00:00,3.12,68.08,17.98,8.97,24.34,8.808,269
2020-01-29 00:00:00+00:00,0.65,13.18,7.45,1.48,10.6,4.497,310
2020-01-30 00:00:00+00:00,0.53,9.35,1.4,0.98,2.04,1.853,292
2020-01-31 00:00:00+00:00,0.45,23.48,2.04,1.28,3.17,1.972,280
2020-02-01 00:00:00+00:00,0.6,10.83,2.22,1.45,2.86,1.841,329
2020-02-02 00:00:00+00:00,0.4,2.1,1.07,0.75,1.34,0.356,323
2020-02-03 00:00:00+00:00,0.6,12.85,1.12,0.95,2.13,1.899,317
2020-02-04 00:00:00+00:00,0.57,2.72,0.9,0.75,1.08,0.311,254
2020-02-05 00:00:00+00:00,0.6,1.8,0.8,0.75,1.0,0.253,191
2020-02-06 00:00:00+00:00,0.78,23.42,1.46,1.28,1.6,1.907,216
2020-02-07 00:00:00+00:00,0.6,3.38,1.2,1.0,1.45,0.569,214
2020-02-08 00:00:00+00:00,0.75,15.93,6.78,1.25,10.24,5.081,192
2020-02-09 00:00:00+00:00,3.96,21.06,12.35,7.72,15.17,4.341,362
